ligand,best_vina,best_pose_pdb
CHEMBL417993,-11.787,results/best_poses_pdb/CHEMBL417993.pdb
C08833112,-10.801,results/best_poses_pdb/C08833112.pdb
CHEMBL49744,-10.573,results/best_poses_pdb/CHEMBL49744.pdb
CHEMBL310551,-10.57,results/best_poses_pdb/CHEMBL310551.pdb
CHEMBL288836,-10.557,results/best_poses_pdb/CHEMBL288836.pdb
CHEMBL162866,-10.378,results/best_poses_pdb/CHEMBL162866.pdb
C13299635,-10.365,results/best_poses_pdb/C13299635.pdb
C02314175,-10.341,results/best_poses_pdb/C02314175.pdb
CHEMBL286456,-10.175,results/best_poses_pdb/CHEMBL286456.pdb
CHEMBL16316,-10.058,results/best_poses_pdb/CHEMBL16316.pdb
C09165170,-9.978,results/best_poses_pdb/C09165170.pdb
CHEMBL89038,-9.898,results/best_poses_pdb/CHEMBL89038.pdb
CHEMBL158033,-9.744,results/best_poses_pdb/CHEMBL158033.pdb
CHEMBL432665,-9.607,results/best_poses_pdb/CHEMBL432665.pdb
C13685221,-9.481,results/best_poses_pdb/C13685221.pdb
CHEMBL371589,-9.47,results/best_poses_pdb/CHEMBL371589.pdb
C08995439,-9.442,results/best_poses_pdb/C08995439.pdb
CHEMBL422718,-9.412,results/best_poses_pdb/CHEMBL422718.pdb
CHEMBL308786,-9.389,results/best_poses_pdb/CHEMBL308786.pdb
CHEMBL1161743,-9.312,results/best_poses_pdb/CHEMBL1161743.pdb
CHEMBL423648,-8.75,results/best_poses_pdb/CHEMBL423648.pdb
C16777364,-8.636,results/best_poses_pdb/C16777364.pdb
C05159161,-8.405,results/best_poses_pdb/C05159161.pdb
C67292685,-8.352,results/best_poses_pdb/C67292685.pdb
C37034461,-8.234,results/best_poses_pdb/C37034461.pdb
C32972005,-8.181,results/best_poses_pdb/C32972005.pdb
C01693501,-8.132,results/best_poses_pdb/C01693501.pdb
C13054563,-7.958,results/best_poses_pdb/C13054563.pdb
C34764595,-7.904,results/best_poses_pdb/C34764595.pdb
C36814611,-7.354,results/best_poses_pdb/C36814611.pdb
